Library Element,AIE_VARIANT,UUT_KERNEL,TT_DATA,TT_TWIDDLE,TP_POINT_SIZE,TP_CASC_LEN,TP_NUM_FRAMES,TP_FFT_NIFFT,TP_SHIFT,TP_API,TP_RND,TP_SAT,TP_SSR,COMPILE,SIM,FUNC,Latency,Throughput,cycleCountAvg,throughputCycleCount,NUM_BANKS,NUM_AIE,DATA_MEMORY,PROGRAM_MEMORY
dft,AIE,dft,cint16,cint16,112,4,32,0,0,0,0,0,4,1,1,1,10043,1009,4412,1015,70,16,240360,2852 2790 2778 2778 2778 2778 2790 2852 2790 2852 2778 2778 2778 2778 2852 2790
dft,AIE,dft,cint16,cint16,112,1,32,0,0,0,0,0,8,1,1,1,15552,585,7609,588,64,8,329088,1876 1876 1876 1876 1876 1876 1876 1876
dft,AIE,dft,cint16,cint16,112,2,32,0,0,0,0,0,8,1,1,1,8634,1084,4143,1081,77,16,338672,1788 1876 1876 1788 1788 1876 1876 1788 1876 1788 1788 1876 1788 1876 1876 1788
dft,AIE,dft,cint16,cint16,112,4,32,0,0,0,0,0,8,1,1,1,3971,2337,1888,2372,140,32,390608,2822 2704 2736 2736 2736 2736 2704 2822 2704 2822 2736 2736 2736 2736 2822 2704 2822 2704 2736 2736 2736 2736 2704 2822 2704 2822 2736 2736 2736 2736 2822 2704
dft,AIE,dft,cint16,cint16,112,2,4,0,0,0,0,0,1,1,1,1,8742,153,3623,154,15,2,59742,1808 1896
dft,AIE,dft,cint16,cint16,112,4,4,0,0,0,0,0,1,1,1,1,4412,311,1771,316,19,4,62650,2790 2778 2778 2868
dft,AIE,dft,cint16,cint16,112,1,4,0,0,0,0,0,2,1,1,1,7904,163,3376,165,16,2,63328,2142 2142
dft,AIE,dft,cint16,cint16,112,2,4,0,0,0,0,0,2,1,1,1,4472,298,1845,303,24,4,65724,2066 2142 2066 2142
dft,AIE,dft,cint16,cint16,112,4,4,0,0,0,0,0,2,1,1,1,2615,548,996,565,35,8,71540,3140 3132 3132 3222 3140 3132 3132 3222
dft,AIE,dft,cint16,cint16,112,1,4,0,0,0,0,0,4,1,1,1,4317,291,1881,297,22,4,80576,2324 2324 2324 2324
dft,AIE,dft,cint16,cint16,112,2,4,0,0,0,0,0,4,1,1,1,2621,509,1109,524,37,8,85368,1896 2252 2252 1896 2252 1896 1896 2252
dft,AIE,dft,cint16,cint16,112,4,4,0,0,0,0,0,4,1,1,1,1559,931,576,972,68,16,97000,2790 2868 2778 2778 2778 2778 2868 2790 2790 2868 2778 2778 2778 2778 2868 2790
dft,AIE,dft,cint16,cint16,112,1,4,0,0,0,0,0,8,1,1,1,2134,552,973,575,47,8,99712,1876 1876 1876 1876 1876 1876 1876 1876
dft,AIE,dft,cint16,cint16,112,2,4,0,0,0,0,0,8,1,1,1,1350,973,543,1031,76,16,109296,1788 1876 1876 1788 1788 1876 1876 1788 1788 1876 1876 1788 1788 1876 1876 1788
dft,AIE,dft,cint16,cint16,112,4,4,0,0,0,0,0,8,1,1,1,859,1799,285,1971,143,32,132560,2822 2704 2736 2736 2736 2736 2704 2822 2704 2822 2736 2736 2736 2736 2822 2704 2822 2704 2736 2736 2736 2736 2704 2822 2704 2822 2736 2736 2736 2736 2822 2704
dft,AIE,dft,cint16,cint16,112,2,8,0,0,0,0,0,1,1,1,1,17173,154,7210,155,15,2,66910,1808 1896
dft,AIE,dft,cint16,cint16,112,4,8,0,0,0,0,0,1,1,1,1,8496,316,3515,318,22,4,70330,2790 2778 2778 2868
dft,AIE,dft,cint16,cint16,112,1,8,0,0,0,0,0,2,1,1,1,15591,165,6728,166,16,2,74080,2142 2142
dft,AIE,dft,cint16,cint16,112,2,8,0,0,0,0,0,2,1,1,1,8645,303,3657,306,24,4,76476,2066 2126 2066 2126
dft,AIE,dft,cint16,cint16,112,4,8,0,0,0,0,0,2,1,1,1,4806,566,1952,575,36,8,83316,3140 3132 3132 3222 3140 3132 3132 3222
dft,AIE,dft,cint16,cint16,112,1,8,0,0,0,0,0,4,1,1,1,8413,296,3744,299,24,4,99008,2324 2324 2324 2324
dft,AIE,dft,cint16,cint16,112,2,8,0,0,0,0,0,4,1,1,1,4919,525,2099,533,40,8,103800,1896 2252 2252 1896 2252 1896 1896 2252
dft,AIE,dft,cint16,cint16,112,4,8,0,0,0,0,0,4,1,1,1,2768,973,1187,996,68,16,117480,2790 2778 2852 2778 2778 2852 2778 2790 2790 2852 2778 2778 2778 2778 2852 2790
dft,AIE,dft,cint16,cint16,112,1,8,0,0,0,0,0,8,1,1,1,4051,570,1936,583,43,8,132480,1876 1876 1876 1876 1876 1876 1876 1876
dft,AIE,dft,cint16,cint16,112,2,8,0,0,0,0,0,8,1,1,1,2391,1035,1051,1065,77,16,142064,1876 1788 1788 1876 1788 1876 1876 1788 1876 1788 1788 1876 1788 1876 1876 1788
dft,AIE,dft,cint16,cint16,112,4,8,0,0,0,0,0,8,1,1,1,1306,2045,520,2153,140,32,169424,2704 2736 2822 2736 2736 2822 2736 2704 2704 2822 2736 2736 2736 2736 2822 2704 2704 2822 2736 2736 2736 2736 2822 2704 2704 2822 2736 2736 2736 2736 2822 2704
dft,AIE,dft,cint16,cint16,128,2,1,0,0,0,0,0,1,1,1,1,3016,132,1177,135,15,2,69982,1772 1860
dft,AIE,dft,cint16,cint16,128,4,1,0,0,0,0,0,1,1,1,1,2406,229,669,239,22,4,72378,1772 1772 1772 1860
dft,AIE,dft,cint16,cint16,128,1,1,0,0,0,0,0,2,1,1,1,2690,140,1099,145,16,2,71008,1860 1860
dft,AIE,dft,cint16,cint16,128,2,1,0,0,0,0,0,2,1,1,1,1643,251,605,264,22,4,73404,1772 1860 1772 1860
