Test Name,UUT_KERNEL,AIE_VARIANT,DATA_TYPE,DIM_SIZE,NUM_FRAMES,GRID_DIM,CASC_LEN,DIAG_INV,NITER,COMPILE,SIM,FUNC,Latency,Throughput,cycleCountAvg,throughputCycleCount,NUM_BANKS,NUM_AIE,NUM_CORES,NUM_TILES,DATA_MEMORY,PROGRAM_MEMORY
test_776_aie2_hw_qor,cholesky,2,cfloat,16,16,2,8,0,16,1,1,1,-1,-1,156605,27,106,22,22,30,511368,8448 8048 8496 8032 8544 8048 8560 2752 2560 2784 2576 2800 2576 2848 2288 2320 2288 2288 2288 2288 2288 8368
test_777_aie22_hw_qor,cholesky,22,float,80,2,1,2,0,16,1,1,1,1505616,21,354436,50,27,2,2,5,163942,4930 4962
test_778_aie2_hw_qor,cholesky,2,cfloat,88,2,2,5,0,16,default,default,default,,,,,,,,,,
test_779_aie2_hw_qor,cholesky,2,float,24,41,3,6,1,16,1,1,1,3004002,62,317472,264,237,33,33,52,969417,7792 7952 7888 8096 8000 1840 2000 2144 1760 1856 1968 1856 2000 7968 8736 1856 1840 2000 1968 2144 2000 1824 2160 1872 2784 1872 1872 1632 8528 1760 1760 1760 1760
test_780_aie1_hw_qor,cholesky,1,cfloat,8,58,1,3,1,16,1,1,1,87981,139,25552,181,23,3,3,7,132595,2142 1838 1854
test_781_aie1_hw_qor,cholesky,1,float,8,127,1,1,0,16,1,1,1,82213,183,47260,214,11,1,1,3,69585,1488
test_782_aie1_hw_qor,cholesky,1,float,400,1,5,3,0,16,default,default,default,,,,,,,,,,
test_783_aie1_hw_qor,cholesky,1,float,224,1,4,1,1,16,1,1,1,709349,132,296689,133,96,10,10,26,549942,2766 2860 3358 2766 3572 3572 2766 3358 3374 3572
test_784_aie1_hw_qor,cholesky,1,cfloat,16,169,4,9,0,16,1,1,1,425931,523,50041,2741,407,67,67,148,1994689,1928 1932 1810 1760 1744 2006 2042 1838 1744 2042 1932 1838 1744 2042 1932 1838 1730 1730 1810 1928 2006 1730 1760 1730 1810 1810 1810 1810 1744 1838 1932 2042 1810 1810 1810 1810 1744 1838 1932 2042 1730 1730 1730 2016 1730 1714 1730 1730 1730 1810 2048 1810 1810 1810 1742 1810 1810 1810 1794 1682 1682 1682 1682 2012 1682 1682 1682
test_785_aie1_hw_qor,cholesky,1,float,48,25,3,4,0,16,1,1,1,445075,340,89488,1416,143,21,21,39,787959,2026 2026 2026 2752 2516 2302 2516 3868 2250 3232 2042 2042 2282 2384 2334 2064 2330 2266 2282 2384 2334
test_786_aie1_hw_qor,cholesky,1,float,440,1,5,7,0,16,default,default,default,,,,,,,,,,
test_787_aie2_hw_qor,cholesky,2,float,64,16,2,7,1,16,default,default,default,,,,,,,,,,
test_788_aie22_hw_qor,cholesky,22,cfloat,16,7,1,9,0,16,1,1,1,513245,120,38410,121,61,9,9,16,329738,4938 4864 4864 4864 5008 4864 4862 4816 4790
test_789_aie1_hw_qor,cholesky,1,cfloat,20,8,1,4,1,16,1,1,1,103350,122,23336,171,28,4,4,8,147268,2660 2164 2014 2176
test_790_aie22_hw_qor,cholesky,22,float,96,5,3,6,0,16,1,1,1,3966222,90,358041,367,317,33,33,89,1917859,4026 4552 7890 4502 4256 4656 4256 4592 4256 4256 4626 4502 4592 4026 4256 4256 7770 4064 4064 4514 4064 7538 4552 4256 4656 4064 4256 4064 4594 3680 4658 4626 4706
test_791_aie2_hw_qor,cholesky,2,float,24,4,3,7,0,16,1,1,1,350571,71,31158,494,166,36,36,58,250421,7824 7984 7904 8000 7984 1824 1968 1856 2000 2000 1744 1840 1744 1840 1840 7920 7968 1824 1856 2000 1808 1968 1808 2000 1856 1632 1856 1632 1856 1760 1936 1760 1760 1760 2144 8512
test_792_aie2_hw_qor,cholesky,2,float,24,1,1,2,1,16,1,1,1,94661,28,25740,71,10,2,2,4,23214,8880 9088
test_793_aie2_hw_qor,cholesky,2,float,8,76,1,3,1,16,1,1,1,2156485,14,405281,88,33,3,3,7,169349,7728 7648 7664
test_794_aie2_hw_qor,cholesky,2,cfloat,20,3,1,1,0,16,1,1,1,305136,11,127874,11,11,1,1,2,43224,8784
test_795_aie2_hw_qor,cholesky,2,cfloat,104,1,2,2,0,16,default,default,default,,,,,,,,,,
test_796_aie22_hw_qor,cholesky,22,float,48,16,3,7,0,16,1,1,1,3019062,116,225818,886,267,36,36,75,1609341,3704 3670 5484 3172 3172 3304 3590 3172 3304 3550 3172 3304 3678 3172 3304 3840 3172 5710 3720 3534 3550 5774 3720 3288 3840 3288 3678 3590 3288 3550 3288 3620 3566 3566 3684 3678
test_797_aie1_hw_qor,cholesky,1,cfloat,36,3,1,4,0,16,1,1,1,130540,112,25353,191,31,4,4,8,175812,2702 2924 2028 2892
test_798_aie1_hw_qor,cholesky,1,float,144,4,6,2,1,16,1,1,1,599576,378,159777,415,302,36,36,77,1219300,2790 2978 2790 2682 3170 2822 3050 2192 3486 3786 3754 3002 2590 3696 2192 3486 3754 3002 2590 3696 2838 3754 3034 2838 2590 3696 2590 3664 2590 3696 2192 3486 2590 3664 2160 3494
test_799_aie1_hw_qor,cholesky,1,cfloat,256,1,4,3,0,16,1,1,1,1819400,79,473092,285,187,26,26,59,1319358,2698 2714 2558 2592 2558 2592 2558 2592 2714 3152 2046 2592 3470 2504 2592 3470 2504 2046 2046 2906 3278 2504 2504 2922 2014 2014
test_800_aie22_hw_qor,cholesky,22,float,576,1,6,1,1,16,default,default,default,,,,,,,,,,
test_801_aie1_hw_qor,cholesky,1,float,168,2,3,1,1,16,1,1,1,677409,110,420265,112,59,6,6,16,330002,3334 3552 2678 2818 3342 2678
test_802_aie2_hw_qor,cholesky,2,float,16,1,2,4,0,16,1,1,1,58392,32,7464,245,56,12,12,17,62448,7728 7888 7904 7856 1808 1888 1920 1920 1600 8416 1728 1728
test_803_aie2_hw_qor,cholesky,2,float,72,6,3,10,0,16,1,1,1,-1,-1,267264,228,425,51,51,111,2285331,2816 10400 3344 2368 2464 3536 2368 3536 2368 2464 2464 2768 2912 2368 2464 3552 2368 2368 2464 3104 2464 2896 2912 2368 2368 2368 2464 9472 9664 2816 9136 3536 2448 2448 3552 2448 2448 2768 2448 2896 2448 2912 2448 2912 8080 9664 9664 8800 8688 8816 8816
test_804_aie22_hw_qor,cholesky,22,cfloat,24,11,1,9,0,16,1,1,1,1826514,27,167524,93,97,9,9,21,551178,5046 5226 5318 4950 4806 4806 4806 4614 4758
test_805_aie2_hw_qor,cholesky,2,float,80,27,5,1,1,16,default,default,default,,,,,,,,,,
test_806_aie2_hw_qor,cholesky,2,float,8,24,1,6,1,16,1,1,1,582040,29,64531,29,26,6,6,7,113386,7840 7856 7856 7728 7664 7648
test_807_aie1_hw_qor,cholesky,1,cfloat,52,1,1,8,1,16,1,1,1,89026,183,10332,445,50,8,8,18,237320,2642 2884 2884 2884 2884 2242 2274 2114
test_808_aie2_hw_qor,cholesky,2,cfloat,144,3,3,3,1,16,default,default,default,,,,,,,,,,
test_809_aie1_hw_qor,cholesky,1,float,112,2,2,7,1,16,default,default,default,,,,,,,,,,
test_810_aie1_hw_qor,cholesky,1,float,400,1,5,6,1,16,default,default,default,,,,,,,,,,
test_811_aie2_hw_qor,cholesky,2,float,16,76,2,5,1,16,default,default,default,,,,,,,,,,
