Library Element,Test Name,AIE_VARIANT,UUT_KERNEL,T_DATA_A,T_DATA_B,DATA_OUT_TYPE,P_DIM_A,P_DIM_AB,P_DIM_B,P_SHIFT,P_ROUND_MODE,P_SAT_MODE,P_DIM_A_LEADING,P_DIM_B_LEADING,P_DIM_OUT_LEADING,P_ADD_TILING_A,P_ADD_TILING_B,P_ADD_DETILING_OUT,P_INPUT_WINDOW_VSIZE_A,P_INPUT_WINDOW_VSIZE_B,P_CASC_LEN,UUT_SSR,SINGLE_BUF,COMPILE,SIM,FUNC,Latency (ns),Throughput (MSa/s),cycleCountAvg,throughputCycleCount,NUM_BANKS,NUM_AIE,NUM_CORES,NUM_TILES,DATA_MEMORY,PROGRAM_MEMORY
matrix_mult,test_175_aie1_hw_qor,AIE,matrix_mult,int32,cint16,cint32,13916,28,2,16,0,0,1,0,1,0,0,0,389648,56,7,7,0,default,default,default,,,,,,,,,,
matrix_mult,test_180_aie1_hw_qor,AIE,matrix_mult,cint16,cint32,cint32,30120,28,2,16,0,0,0,1,1,0,0,0,843360,56,7,15,0,default,default,default,,,,,,,,,,
matrix_mult,test_181_aie1_hw_qor,AIE,matrix_mult,int16,cint32,cint32,36,20,128,16,0,0,0,1,1,0,0,0,720,2560,1,9,0,1,1,1,23259,789,2109,2731 MSa/s,63,9,9,18,280593,1922 1922 1922 1922 1922 1922 1922 1922 1922
matrix_mult,test_183_aie1_hw_qor,AIE,matrix_mult,cint16,int16,cint16,12,3288,4,16,0,0,0,1,1,0,0,0,39456,13152,3,3,0,1,1,1,8110,10,1570,42 MSa/s,75,9,9,21,335679,1610 1642 1736 1610 1642 1736 1610 1642 1736
matrix_mult,test_185_aie1_hw_qor,AIE,matrix_mult,int32,cint16,cint32,36,5376,20,16,0,0,0,1,0,0,0,0,193536,107520,14,9,0,default,default,default,,,,,,,,,,
matrix_mult,test_187_aie1_hw_qor,AIE,matrix_mult,float,cfloat,cfloat,60,16,18,0,0,0,0,1,1,0,0,0,960,288,4,1,0,1,1,1,10616,303,4400,306 MSa/s,22,4,4,9,39322,2056 2000 2000 2084
matrix_mult,test_188_aie1_hw_qor,AIE,matrix_mult,cint16,int32,cint32,8,52,236,16,0,0,0,0,1,0,0,0,416,12272,13,1,0,1,1,1,16608,623,3543,666 MSa/s,66,13,13,22,160105,1778 1914 1914 1914 1914 1914 1914 1914 1914 1914 1914 1914 2170
matrix_mult,test_189_aie1_hw_qor,AIE,matrix_mult,int32,int16,int32,4940,48,4,16,0,0,1,0,1,0,0,0,237120,192,12,5,0,default,default,default,,,,,,,,,,
matrix_mult,test_196_aie1_hw_qor,AIE,matrix_mult,cint16,cint32,cint32,1452,64,6,16,0,0,1,1,1,0,0,0,92928,384,8,3,0,1,1,1,47477,519,20576,529 MSa/s,174,24,24,48,883929,1910 1910 1910 1910 1952 1910 1910 1910 1910 1910 1910 1910 1952 1910 1910 1910 1910 1910 1910 1910 1952 1910 1910 1910
matrix_mult,test_197_aie1_hw_qor,AIE,matrix_mult,cfloat,float,cfloat,4,8,1304,0,0,0,0,0,1,0,0,0,32,10432,2,2,0,1,1,1,49632,735,3616,1803 MSa/s,26,4,4,8,135452,1602 1622 1602 1622
matrix_mult,test_198_aie1_hw_qor,AIE,matrix_mult,int32,cint16,cint32,280,4,4,16,0,0,0,0,1,0,0,0,1120,16,1,1,0,1,1,1,5386,622,1214,1153 MSa/s,9,1,1,3,29193,2044
matrix_mult,test_199_aie1_hw_qor,AIE,matrix_mult,cint32,int16,cint32,5404,72,4,16,0,0,0,1,1,0,0,0,389088,288,9,14,0,default,default,default,,,,,,,,,,
matrix_mult,test_202_aie1_hw_qor,AIE,matrix_mult,float,cfloat,cfloat,20,828,16,0,0,0,0,0,1,0,0,0,16560,13248,9,2,0,1,1,1,20666,51,7955,50 MSa/s,126,18,18,36,605424,1990 2004 2004 2004 2004 2004 2004 2004 2088 1990 2004 2004 2004 2004 2004 2004 2004 2088
matrix_mult,test_205_aie1_hw_qor,AIE,matrix_mult,cint16,int32,cint32,36,16,28,16,0,0,0,0,1,0,0,0,576,448,1,9,0,1,1,1,1421,2784,390,3230 MSa/s,63,9,9,18,72657,1868 1868 1868 1868 1868 1868 1868 1868 1868
matrix_mult,test_207_aie1_hw_qor,AIE,matrix_mult,int32,int32,int32,16,288,20,16,0,0,0,0,1,0,0,0,4608,5760,1,1,0,1,1,1,24547,22,11801,33 MSa/s,9,1,1,3,46217,2130
matrix_mult,test_208_aie1_hw_qor,AIE,matrix_mult,cint16,cint16,cint16,40,8,4,16,0,0,0,1,1,0,0,0,320,32,2,1,0,1,1,1,548,833,191,1047 MSa/s,8,2,2,4,8465,1840 2060
matrix_mult,test_209_aie1_hw_qor,AIE,matrix_mult,cint16,int16,cint16,24,344,32,16,0,0,1,1,0,0,0,0,8256,11008,1,2,0,1,1,1,22727,59,10681,89 MSa/s,14,2,2,4,87570,1726 1726
matrix_mult,test_211_aie1_hw_qor,AIE,matrix_mult,cfloat,cfloat,cfloat,1656,4,4,0,0,0,1,1,0,0,0,0,6624,16,1,6,0,1,1,0,6984,2289,3551,2331 MSa/s,54,6,6,12,228126,2396 2396 2396 2396 2396 2396
matrix_mult,test_215_aie1_hw_qor,AIE,matrix_mult,float,float,float,4,560,4,0,0,0,1,0,1,0,0,0,2240,2240,14,1,0,1,1,1,1587,121,199,100 MSa/s,68,14,14,27,70086,1732 1764 1764 1764 1764 1764 1764 1764 1764 1764 1764 1764 1764 1840
matrix_mult,test_229_aie1_hw_qor,AIE,matrix_mult,cint32,cint16,cint32,3608,8,12,16,0,0,0,1,0,0,0,0,28864,96,2,11,0,1,1,1,31161,3916,13282,4074 MSa/s,176,22,22,44,864677,1858 1968 1858 1968 1858 1968 1858 1968 1858 1968 1858 1968 1858 1968 1858 1968 1858 1968 1858 1968 1858 1968
matrix_mult,test_232_aie1_hw_qor,AIE,matrix_mult,float,cfloat,cfloat,318,456,20,0,0,0,0,1,0,0,0,0,145008,9120,6,3,0,1,1,1,144917,84,85623,92 MSa/s,171,18,18,39,1112562,1894 1908 1908 1908 1908 1944 1894 1908 1908 1908 1908 1944 1894 1908 1908 1908 1908 1944
matrix_mult,test_235_aie1_hw_qor,AIE,matrix_mult,cint16,cint32,cint32,256,64,4,16,0,0,0,0,0,0,0,0,16384,256,2,4,0,1,1,1,4289,534,2344,547 MSa/s,40,8,8,16,181308,1822 1940 1822 1940 1822 1940 1822 1940
matrix_mult,test_239_aie1_hw_qor,AIE,matrix_mult,int16,int32,int32,72,16,12,16,0,0,0,0,0,0,0,0,1152,192,4,3,0,1,1,1,1106,3260,285,3789 MSa/s,63,12,12,27,42318,2002 2070 2070 1986 2002 2070 2070 1986 2002 2070 2070 1986
matrix_mult,test_241_aie1_hw_qor,AIE,matrix_mult,int16,cint16,cint16,1708,16,16,16,0,0,1,1,0,0,0,0,27328,256,1,7,0,1,1,1,17602,4296,7888,4330 MSa/s,56,7,7,14,357560,1812 1812 1812 1812 1812 1812 1812
matrix_mult,test_245_aie1_hw_qor,AIE,matrix_mult,float,float,float,6636,40,4,0,0,0,0,1,1,0,0,0,265440,160,5,7,0,1,1,1,22395,1884,9994,3320 MSa/s,261,35,35,79,1368367,1944 2066 1938 1944 1944 1944 2066 1938 1944 1944 1944 2066 1938 1944 1944 1944 2066 1938 1944 1944 1944 2066 1938 1944 1944 1944 2066 2066 1944 1944 1944 1922 1938 1944 1944
matrix_mult,test_251_aie1_hw_qor,AIE,matrix_mult,float,cfloat,cfloat,4,8,552,0,0,0,1,0,1,0,0,0,32,4416,2,2,0,1,1,1,58861,412,2242,1231 MSa/s,28,4,4,8,115996,1614 1756 1614 1756
matrix_mult,test_254_aie1_hw_qor,AIE,matrix_mult,int32,int32,int32,8,12,10,16,0,0,1,0,0,0,0,0,96,120,3,2,0,1,1,1,755,784,78,1282 MSa/s,28,6,6,12,16434,1682 1634 1750 1682 1634 1750
matrix_mult,test_264_aie1_hw_qor,AIE,matrix_mult,int32,int32,int32,8544,4,4,16,0,0,1,1,1,0,0,0,34176,16,1,12,0,1,1,1,4678,14976,2778,15377 MSa/s,108,12,12,24,574572,1940 1940 1940 1940 1940 1940 1940 1940 1940 1940 1940 1940
matrix_mult,test_265_aie1_hw_qor,AIE,matrix_mult,cint32,int16,cint32,4,4,1104,16,0,0,1,0,1,0,0,0,16,4416,1,2,0,1,1,1,31273,988,1133,4872 MSa/s,16,2,2,4,75282,1686 1686
matrix_mult,test_266_aie1_hw_qor,AIE,matrix_mult,float,cfloat,cfloat,24,24,108,0,0,0,0,0,0,0,0,0,576,2592,1,1,0,1,1,1,101928,76,37411,86 MSa/s,9,1,1,3,48520,2484
matrix_mult,test_267_aie1_hw_qor,AIE,matrix_mult,cfloat,float,cfloat,4248,4,2,0,0,0,1,1,0,0,0,0,16992,8,1,6,0,1,1,1,9472,1220,2998,3542 MSa/s,48,6,6,12,286896,1678 1678 1678 1678 1678 1678
matrix_mult,test_269_aie1_hw_qor,AIE,matrix_mult,cfloat,cfloat,cfloat,836,288,4,0,0,0,1,1,1,0,0,0,240768,1152,9,11,0,default,default,default,,,,,,,,,,
matrix_mult,test_271_aie1_hw_qor,AIE,matrix_mult,cint32,cint32,cint32,784,4,10,16,0,0,1,0,0,0,0,0,3136,40,2,14,0,1,1,1,2829,8074,1165,8412 MSa/s,126,28,28,56,245686,1750 1814 1750 1814 1750 1814 1750 1814 1750 1814 1750 1814 1750 1814 1750 1814 1750 1814 1750 1814 1750 1814 1750 1814 1750 1814 1750 1814
matrix_mult,test_274_aie1_hw_qor,AIE,matrix_mult,cint16,int16,cint32,5568,96,10,16,0,0,1,1,0,0,0,0,534528,960,12,16,0,default,default,default,,,,,,,,,,
matrix_mult,test_276_aie1_hw_qor,AIE,matrix_mult,cfloat,cfloat,cfloat,140,156,68,0,0,0,0,1,1,0,0,0,21840,10608,3,7,0,1,1,0,126573,224,46002,258 MSa/s,217,21,21,49,1147027,2140 2220 2332 2140 2220 2332 2140 2220 2332 2140 2220 2332 2140 2220 2332 2140 2220 2332 2140 2220 2332
matrix_mult,test_282_aie1_hw_qor,AIE,matrix_mult,cint32,cint32,cint32,20,6,856,16,0,0,1,0,0,0,0,0,120,5136,3,10,0,1,1,1,30258,6243,2836,7545 MSa/s,230,30,30,60,1163080,1740 1706 1780 1740 1706 1780 1740 1706 1780 1740 1706 1780 1740 1706 1780 1740 1706 1780 1740 1706 1780 1740 1706 1780 1740 1706 1780 1740 1706 1780
