UUT_KERNEL,AIE_VARIANT,DATA_TYPE,DATA_OUT_TYPE,COEFF_TYPE,FIR_LEN,SHIFT,SAT_MODE,ROUND_MODE,INPUT_WINDOW_VSIZE,CASC_LEN,DUAL_IP,USE_COEFF_RELOAD,NUM_OUTPUTS,UUT_SSR,PORT_API,INTERPOLATE_FACTOR,DECIMATE_FACTOR,UUT_PARA_DECI_POLY,UUT_PARA_INTERP_POLY,UPSHIFT_CT,SINGLE_BUF,COMPILE,SIM,FUNC,Latency_last (ns),Throughput_last (MSa/s),Latency_first (ns),Latency (ns),Throughput (MSa/s),Initation Interval_avg (ns),cycleCountAvg,throughputCycleCount (MSa/s),NUM_BANKS,NUM_AIE,NUM_CORES,NUM_TILES,DATA_MEMORY,PROGRAM_MEMORY
fir_sr_asym,22,cint32,cint32,cint32,971,0,0,0,240,6,0,0,1,1,0,1,1,1,1,0,0,1,1,1,91226.0,8.0,81816.0,91226.33,8.22,29181.6,36453.0,8.22,34.0,6.0,6.0,11.0,197865.0,8846 8520 8568 8520 8568 8532
fir_sr_asym,2,int32,int32,int16,136,0,0,0,256,7,0,0,1,2,1,1,1,1,1,0,0,default,default,default,,,,,,,,,,,,,,
fir_sr_asym,1,cfloat,cfloat,float,47,0,0,0,8,9,0,0,1,1,0,1,1,1,1,0,0,1,1,1,1101.0,61.0,310.39,1097.06,62.08,128.79,161.0,62.11,21.0,9.0,9.0,13.0,37146.0,1884 1686 1684 1626 1616 1684 1684 1626 1618
fir_sr_asym,2,int32,int32,int16,49,0,0,0,3024,4,0,1,1,7,0,1,1,1,1,0,0,default,default,default,,,,,,,,,,,,,,
fir_sr_asym,1,cint32,cint32,cint16,4,0,0,0,16,1,0,0,1,2,0,1,1,1,1,0,0,1,1,1,557.0,219.0,113.6,556.79,217.39,73.6,33.0,606.06,14.0,4.0,4.0,8.0,13036.0,1218 1598 1218 1598
fir_sr_asym,22,int32,int32,int32,10,0,0,0,64,6,0,1,1,2,1,1,1,1,1,0,0,default,default,default,,,,,,,,,,,,,,
fir_sr_asym,22,cint16,cint16,cint32,1370,0,0,0,320,7,0,0,1,10,1,1,1,1,1,0,0,default,default,default,,,,,,,,,,,,,,
fir_sr_asym,22,cint32,cint32,cint16,48,0,0,0,62592,1,0,0,1,6,1,1,1,1,1,0,0,1,1,1,1645.0,1033.0,464.0,1644.8,1033.71,60471.68,75707.0,1034.09,36.0,36.0,36.0,67.0,119604.0,2084 2060 2518 2084 2060 2138 2138 2138 2518 2084 2060 2084 2084 2084 2084 2518 2138 2060 2138 2138 2138 2518 2084 2084 2060 2084 2084 2138 2518 2084 2480 2084 2060 2084 2138 2138
fir_sr_asym,2,int16,int16,int16,149,0,0,0,1920,10,0,0,1,1,1,1,1,1,1,0,0,1,1,1,651.0,739.0,472.0,651.41,738.88,2598.62,3266.0,734.84,10.0,10.0,10.0,36.0,30913.0,1584 1376 1728 1760 1808 1664 2000 1888 1808 1840
fir_sr_asym,22,cint16,cint16,int32,350,0,0,0,476,2,0,1,1,7,0,1,1,1,1,0,0,default,default,default,,,,,,,,,,,,,,
fir_sr_asym,22,int32,int32,int16,182,0,0,0,21504,3,0,1,1,7,1,1,1,1,1,0,0,default,default,default,,,,,,,,,,,,,,
fir_sr_asym,22,cint16,cint16,cint32,19,0,0,0,8,2,0,0,1,1,0,1,1,1,1,0,0,default,default,default,,,,,,,,,,,,,,
fir_sr_asym,1,int16,int16,int32,15,0,0,0,3328,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,683.0,750.0,174.4,683.2,747.85,4451.65,5525.0,752.94,4.0,1.0,1.0,2.0,3203.0,3890
fir_sr_asym,2,int16,int16,int16,85,0,0,0,960,1,0,1,1,5,1,1,1,1,1,0,0,1,1,1,1272.0,2774.0,414.4,1272.0,2783.31,345.06,481.0,2696.62,40.0,25.0,25.0,91.0,67860.0,2144 2144 2112 2208 2448 2144 2144 2144 2208 2464 2144 2112 2112 2208 2464 2112 2112 2112 2208 2448 2112 2112 2112 2224 2416
